,path_no,path_treat,pvalue,lsmean,SE,df,lower.CL,upper.CL,direction,plantsp,biomass
103,92,path_treat923,0.97370178,0.005256545,0.00146796,133.744045,0.002392804,0.00820038,+,BS,below
105,17,path_treat174,0.20481172,0.015931833,0.004530101,147.9923585,0.007316697,0.025238571,+,IW,below
106,18,path_treat184,0.64327169,0.007609886,0.004519082,147.6516274,-0.000960026,0.01692135,+,IW,below
107,19,path_treat194,0.587077536,0.007221617,0.00450649,147.9968899,-0.001323968,0.016507271,+,IW,below
108,23,path_treat234,0.807583976,0.008731474,0.004277211,147.470952,0.000599121,0.017521239,+,IW,below
109,29,path_treat294,0.664510854,0.013439415,0.008250016,147.9164796,-0.001746352,0.030972246,+,IW,below
110,35,path_treat354,0.821411765,0.007326305,0.01092325,146.5708112,-0.012228608,0.031237929,-,IW,below
111,45,path_treat454,5.84627724701842e-12,0.064152397,0.008441429,147.9998361,0.048290687,0.081710733,+,IW,below
112,47,path_treat47,0.899776237,0.010549853,0.005165333,146.5693096,0.000798833,0.021244162,+,IW,below
113,48,path_treat48,0.537582567,0.01331626,0.005391489,141.8222718,0.003144067,0.024491648,+,IW,below
114,49,path_treat49,0.830513186,0.011315884,0.006644894,147.9824569,-0.001070337,0.025252889,+,IW,below
115,51,path_treat51,0.93618675,0.009382033,0.005740521,132.0450978,-0.001403713,0.021347665,+,IW,below
116,53,path_treat53,0.723357354,0.011763137,0.005114104,147.8678634,0.002100425,0.022340321,+,IW,below
117,55,path_treat55,0.792575477,0.008391884,0.005354563,126.3887936,-0.001702862,0.019523322,+,IW,below
118,56,path_treat56,0.849567728,0.008704752,0.005941522,109.2048463,-0.002455514,0.021141887,+,IW,below
119,57,path_treat574,0.676174727,0.008204722,0.003537991,147.9244717,0.001434277,0.015427075,+,IW,below
120,58,path_treat584,0.900074094,0.009361351,0.003555322,147.9331999,0.002556498,0.016617721,+,IW,below
121,59,path_treat594,0.794916682,0.010885599,0.003572419,144.6262087,0.004044817,0.018176152,+,IW,below
122,64,path_treat644,0.839329788,0.010799027,0.004308918,147.675031,0.0026029,0.019649877,+,IW,below
123,73,path_treat733,0.814537078,0.01126678,0.005832594,128.6704443,0.000304862,0.023426683,+,IW,below
124,74,path_treat744,0.996729995,0.009832786,0.006518814,147.8858342,-0.002322506,0.02350072,+,IW,below
125,76,path_treat764,0.466507703,0.014252149,0.005876023,147.9504325,0.003210952,0.0264745,+,IW,below
126,83,path_treat834,0.12315891,0.017237825,0.004568676,147.5732461,0.008548232,0.026623044,+,IW,below
127,85,path_treat854,0.402338872,0.014423887,0.005272437,147.6706314,0.004465011,0.025332165,+,IW,below
128,87,path_treat874,0.860413487,0.010677233,0.004379029,146.4358675,0.002352679,0.019678841,+,IW,below
129,92,path_treat924,0.29393669,0.015225063,0.004867719,147.9081925,0.00599638,0.02525725,+,IW,below
